Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A,CTD Absolute Salinity [g/kg],CTD Conservative Temperature,CTD Density [kg/m^3],CTD Sigma [kg/m^3],Calculated pCO2 [lab conditions],Calculated pH [lab conditions]
AR35-05,8,Gliders,59.8441666666667,-39.0945666666667,2019-08-10 20:33:00+00:00,8,*0000000000000001,2824.0,,,7.0,2.0,2019-08-10 21:10:00+00:00,849.0,3.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8741,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR35-05,8,Gliders,59.8441666666667,-39.0945666666667,2019-08-10 20:33:00+00:00,8,*0000000000000001,2824.0,,,11.0,2.0,2019-08-10 21:33:00+00:00,648.0,3.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8818,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR35-05,8,Gliders,59.8441666666667,-39.0945666666667,2019-08-10 20:33:00+00:00,8,*0000000000000001,2824.0,,,19.0,2.0,2019-08-10 21:57:00+00:00,301.0,3.0,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8524,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,7.0,2.0,2019-08-11 17:41:00+00:00,2498.0,3.0,2498.0,59.9659,-39.56585,1.502,3.0,1.502,3.0,,,,,34.876,34.876,,,,,,,,,,,6.665,1.0,1.0,,,,,,0.677,5.269,7.906,0,0.378,1.0,1.0,34.8847,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.044330789494,1.3290781554757551,1039.4008342511104,1039.4008342511104,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,8.0,2.0,2019-08-11 17:41:00+00:00,2498.0,3.0,2498.0,59.9659,-39.56585,1.502,3.0,1.502,3.0,,,,,34.876,34.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.044330789494,1.3290781554757551,1039.4008342511104,1039.4008342511104,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,11.0,2.0,2019-08-11 18:20:00+00:00,503.0,3.0,503.0,59.9659,-39.56585,3.725,3.0,3.725,3.0,,,,,34.882,34.882,,,,,,,,,,,6.575,1.0,1.0,,,,,,0.747,6.152,9.635,0,0.283,1.0,1.0,34.8985,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,35.04923800233426,3.6858577042196683,1030.0568761319096,1030.0568761319096,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,12.0,2.0,2019-08-11 18:20:00+00:00,503.0,3.0,503.0,59.9659,-39.56585,3.725,3.0,3.725,3.0,,,,,34.882,34.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.04923800233426,3.6858577042196683,1030.0568761319096,1030.0568761319096,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,19.0,2.0,2019-08-11 18:31:00+00:00,81.0,3.0,81.0,59.9659,-39.56585,4.981,3.0,4.981,3.0,,,,,34.786,34.786,,,,,,,,,,,6.784,1.0,1.0,09/01,09/01,,9.0,1.0,0.741,4.345,7.34,0.111,0.506,1.0,3.0,34.7864,1.0,1.0,2297.2,1.0,1.0,2166.23,1.0,1.0,,,,,,,,,2297.2,2166.23,455.56846975505164,7.985622048456843,23.697566002575105,,102.48533788244261,,,34.95213149650262,4.970965990115974,1027.8850440325427,1027.8850440325427,1080.1590032670304,7.676956200849272
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,19.0,2.0,2019-08-11 18:31:00+00:00,81.0,3.0,81.0,59.9659,-39.56585,4.981,3.0,4.981,3.0,,,,,34.786,34.786,,,,,,,,,,,,,,,,,,,0.716,4.551,7.65,0.117,0.601,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.95213149650262,4.970965990115974,1027.8850440325427,1027.8850440325427,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,20.0,2.0,2019-08-11 18:31:00+00:00,81.0,3.0,81.0,59.9659,-39.56585,4.981,3.0,4.981,3.0,,,,,34.786,34.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.95213149650262,4.970965990115974,1027.8850440325427,1027.8850440325427,,
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,23.0,2.0,2019-08-11 18:37:00+00:00,12.0,3.0,12.0,59.9659,-39.56585,10.291,3.0,10.291,3.0,,,,,34.606,34.606,,,,,,,,,,,6.687,1.0,1.0,09/02,09/02,,9.0,3.0,0.32,0.926,2.793,0,0.629,1.0,3.0,34.6561,1.0,1.0,2296.0,1.0,1.0,2098.02,1.0,1.0,,,,,7.8624,25.0,1.0,1.0,2296.0,2098.02,384.02127491650816,8.096222050043002,16.658700106286858,,145.73807112174376,,,34.77074348195327,10.286702808685257,1026.6520526434892,1026.6520526434892,720.1627007863981,7.831473364453921
AR35-05,9,"GI01SUMO, GI02HYPM",59.9657666666667,-39.56585,2019-08-11 16:43:00+00:00,9,*0000000000000001,2654.0,,,23.0,2.0,2019-08-11 18:37:00+00:00,12.0,3.0,12.0,59.9659,-39.56585,10.291,3.0,10.291,3.0,,,,,34.606,34.606,,,,,,,,,,,,,,09/03,09/03,,9.0,3.0,0.31,0.767,2.397,0,0.453,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.77074348195327,10.286702808685257,1026.6520526434892,1026.6520526434892,,
