Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,1,*0000000000000100,2015-08-07T15:13:54.000Z,1505.111,*0000000000000100,1487.859,42.54162,-62.58168,3.9746,*0000000000000100,3.9758,*0000000000000100,3.315597,*0000000000000100,3.315619,*0000000000000100,34.9561,34.9552,5.7616,*0000000000000100,7.2513,-9999999,-9999999,0.0978,97.5857,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,2,*0000000000000100,2015-08-07T15:14:10.000Z,1505.119,*0000000000000100,1487.867,42.54159,-62.58165,3.9756,*0000000000000100,3.9764,*0000000000000100,3.315693,*0000000000000100,3.315685,*0000000000000100,34.9562,34.9553,5.762,*0000000000000100,7.25112,-9999999,-9999999,0.098,97.5792,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,3,*0000000000000100,2015-08-07T15:14:17.000Z,1505.087,*0000000000000100,1487.836,42.54158,-62.58163,3.9754,*0000000000000100,3.9765,*0000000000000100,3.315678,*0000000000000100,3.315692,*0000000000000100,34.9563,34.9553,5.7614,*0000000000000100,7.25115,-9999999,-9999999,0.0984,97.5706,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,4,*0000000000000100,2015-08-07T15:14:25.000Z,1505.25,*0000000000000100,1487.996,42.54157,-62.58161,3.9755,*0000000000000100,3.9766,*0000000000000100,3.315683,*0000000000000100,3.315704,*0000000000000100,34.9562,34.9553,5.7631,*0000000000000100,7.25115,-9999999,-9999999,0.1114,97.2577,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,5,*0000000000000100,2015-08-07T15:14:32.000Z,1505.179,*0000000000000100,1487.926,42.54156,-62.5816,3.975,*0000000000000100,3.9764,*0000000000000100,3.315645,*0000000000000100,3.315687,*0000000000000100,34.9562,34.9553,5.7679,*0000000000000100,7.25122,-9999999,-9999999,0.0983,97.573,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,6,*0000000000000100,2015-08-07T15:14:39.000Z,1504.753,*0000000000000100,1487.506,42.54154,-62.5816,3.975,*0000000000000100,3.9762,*0000000000000100,3.31562,*0000000000000100,3.315648,*0000000000000100,34.9562,34.9553,5.7647,*0000000000000100,7.25123,-9999999,-9999999,0.0979,97.5819,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,7,*0000000000000100,2015-08-07T15:14:46.000Z,1504.925,*0000000000000100,1487.675,42.54152,-62.5816,3.9745,*0000000000000100,3.9758,*0000000000000100,3.315575,*0000000000000100,3.31562,*0000000000000100,34.9562,34.9552,5.7676,*0000000000000100,7.25133,-9999999,-9999999,0.0983,97.5725,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,8,*0000000000000100,2015-08-07T15:14:53.000Z,1504.838,*0000000000000100,1487.59,42.54151,-62.58161,3.9747,*0000000000000100,3.9757,*0000000000000100,3.315598,*0000000000000100,3.315605,*0000000000000100,34.9562,34.9553,5.7607,*0000000000000100,7.25128,-9999999,-9999999,0.0981,97.5776,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,9,*0000000000000100,2015-08-07T15:15:00.000Z,1504.971,*0000000000000100,1487.721,42.5415,-62.58162,3.9745,*0000000000000100,3.9755,*0000000000000100,3.315581,*0000000000000100,3.315586,*0000000000000100,34.9562,34.9552,5.7623,*0000000000000100,7.25133,-9999999,-9999999,0.0985,97.5673,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT30-01,1,release test,42.5478333333333,-62.584,2015-08-07T12:39:53.000Z,1,*0000000000000100,1723,C:\data\ctd\at30_001.hex,*0000000000000100,10,*0000000000000100,2015-08-07T15:15:06.000Z,1504.996,*0000000000000100,1487.746,42.54148,-62.58162,3.9734,*0000000000000100,3.9749,*0000000000000100,3.315488,*0000000000000100,3.315531,*0000000000000100,34.9562,34.9552,5.7593,*0000000000000100,7.25151,-9999999,-9999999,0.0981,97.577,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
