Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AR7-01,2,Release test,51.976,-45.7595,2016-07-06T11:29:36.000Z,2,*0000000000000100,4056,D:\Data\ar0701002.hex,*0000000000000100,1,*0000000000000100,2016-07-06T12:29:34.000Z,2538.465,*0000000000000100,2501.137,51.9711,-45.7649,2.9104,*0000000000000100,2.9102,*0000000000000100,3.260327,*0000000000000100,3.259935,*0000000000000100,34.93,34.9256,6.1049,*0000000000000100,7.44367,-9999999,-9999999,0.1264,96.8913,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,2,Release test,51.976,-45.7595,2016-07-06T11:29:36.000Z,2,*0000000000000100,4056,D:\Data\ar0701002.hex,*0000000000000100,2,*0000000000000100,2016-07-06T12:29:47.000Z,2539.78,*0000000000000100,2502.425,51.9711,-45.7649,2.9108,*0000000000000100,2.9106,*0000000000000100,3.260387,*0000000000000100,3.260006,*0000000000000100,34.9297,34.9254,6.0982,*0000000000000100,7.44362,-9999999,-9999999,0.1264,96.8899,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,2,Release test,51.976,-45.7595,2016-07-06T11:29:36.000Z,2,*0000000000000100,4056,D:\Data\ar0701002.hex,*0000000000000100,3,*0000000000000100,2016-07-06T12:30:04.000Z,2539.757,*0000000000000100,2502.403,51.97111,-45.7649,2.9103,*0000000000000100,2.91,*0000000000000100,3.260377,*0000000000000100,3.259983,*0000000000000100,34.9301,34.9257,6.1039,*0000000000000100,7.44369,-9999999,-9999999,0.1264,96.8899,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,3,Release test,51.9711666666667,-45.7648333333333,2016-07-06T14:10:07.000Z,3,*0000000000000100,-9999999,D:\Data\ar0701003.hex,*0000000000000100,1,*0000000000000100,2016-07-06T15:18:59.000Z,2539.874,*0000000000000100,2502.518,51.97112,-45.76492,2.8886,*0000000000000100,2.8884,*0000000000000100,3.258005,*0000000000000100,3.257614,*0000000000000100,34.9247,34.9202,6.1193,*0000000000000100,7.44796,-9999999,-9999999,0.1264,96.8905,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,4,Release test,51.9711666666667,-45.7648333333333,2016-07-06T17:02:22.000Z,4,*0000000000000100,-9999999,D:\Data\ar0701004.hex,*0000000000000100,1,*0000000000000100,2016-07-06T18:16:04.000Z,2540.695,*0000000000000100,2503.322,51.97115,-45.76492,2.9163,*0000000000000100,2.9159,*0000000000000100,3.260625,*0000000000000100,3.260228,*0000000000000100,34.9263,34.922,6.1118,*0000000000000100,7.44278,-9999999,-9999999,0.126,96.9009,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,4,Release test,51.9711666666667,-45.7648333333333,2016-07-06T17:02:22.000Z,4,*0000000000000100,-9999999,D:\Data\ar0701004.hex,*0000000000000100,2,*0000000000000100,2016-07-06T18:43:22.000Z,2539.634,*0000000000000100,2502.283,51.97112,-45.76493,2.9106,*0000000000000100,2.9106,*0000000000000100,3.259991,*0000000000000100,3.259629,*0000000000000100,34.9252,34.921,6.1255,*0000000000000100,7.44388,-9999999,-9999999,0.1257,96.9081,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,5,Gliders,59.8636666666667,-39.1245,2016-07-09T12:14:52.000Z,5,*0000000000000100,2820,D:\Data\ar0701005.hex,*0000000000000100,1,*0000000000000100,2016-07-09T12:37:09.000Z,1015.069,*0000000000000100,1003.059,59.86362,-39.12447,3.4334,*0000000000000100,3.4333,*0000000000000100,3.239573,*0000000000000100,3.239275,*0000000000000100,34.8734,34.8699,6.6924,*0000000000000100,7.3515,-9999999,-9999999,0.1234,96.9626,*0000000000000100,-9999999,-9999999,6.902,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.718,6.157,11.44,<0.04,1.646,*0000000000000100,*0000000000000100,34.8757,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,5,Gliders,59.8636666666667,-39.1245,2016-07-09T12:14:52.000Z,5,*0000000000000100,2820,D:\Data\ar0701005.hex,*0000000000000100,2,*0000000000000100,2016-07-09T12:37:18.000Z,1015.519,*0000000000000100,1003.502,59.86362,-39.12447,3.4334,*0000000000000100,3.433,*0000000000000100,3.23959,*0000000000000100,3.239275,*0000000000000100,34.8733,34.87,6.6895,*0000000000000100,7.3515,-9999999,-9999999,0.1237,96.9568,*0000000000000100,-9999999,-9999999,6.904,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.8749,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,5,Gliders,59.8636666666667,-39.1245,2016-07-09T12:14:52.000Z,5,*0000000000000100,2820,D:\Data\ar0701005.hex,*0000000000000100,3,*0000000000000100,2016-07-09T12:42:51.000Z,812.198,*0000000000000100,802.977,59.86363,-39.12446,3.4816,*0000000000000100,3.4812,*0000000000000100,3.235596,*0000000000000100,3.235284,*0000000000000100,34.8801,34.8767,6.7127,*0000000000000100,7.34252,-9999999,-9999999,0.1229,96.9761,*0000000000000100,-9999999,-9999999,6.908,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.8821,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR7-01,5,Gliders,59.8636666666667,-39.1245,2016-07-09T12:14:52.000Z,5,*0000000000000100,2820,D:\Data\ar0701005.hex,*0000000000000100,4,*0000000000000100,2016-07-09T12:42:59.000Z,812.771,*0000000000000100,803.542,59.86362,-39.12446,3.4816,*0000000000000100,3.4812,*0000000000000100,3.235628,*0000000000000100,3.235314,*0000000000000100,34.8801,34.8768,6.7139,*0000000000000100,7.34251,-9999999,-9999999,0.1226,96.9816,*0000000000000100,-9999999,-9999999,6.912,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.882,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
