Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,2,*0000000000000100,2014-09-08T12:07:58.000Z,1509.032,*0000000000000100,1489.167,62.10702,-31.38174,3.655,*0000000000000100,3.6546,*0000000000000100,3.286371,*0000000000000100,3.286591,*0000000000000100,34.9461,34.9492,6.3251,*0000000000000100,7.30825,-9999999,-9999999,0.0862,97.8697,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,4,*0000000000000100,2014-09-08T12:08:10.000Z,1509.518,*0000000000000100,1489.645,62.10702,-31.38176,3.6548,*0000000000000100,3.6544,*0000000000000100,3.286384,*0000000000000100,3.286602,*0000000000000100,34.9463,34.9493,6.3326,*0000000000000100,7.30829,-9999999,-9999999,0.0865,97.8614,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,6,*0000000000000100,2014-09-08T12:08:22.000Z,1509.285,*0000000000000100,1489.415,62.10702,-31.38176,3.6547,*0000000000000100,3.6546,*0000000000000100,3.286351,*0000000000000100,3.2866,*0000000000000100,34.9462,34.9492,6.3246,*0000000000000100,7.30832,-9999999,-9999999,0.0871,97.8468,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,8,*0000000000000100,2014-09-08T12:08:30.000Z,1509.06,*0000000000000100,1489.195,62.10702,-31.38176,3.6547,*0000000000000100,3.6547,*0000000000000100,3.28634,*0000000000000100,3.286596,*0000000000000100,34.9462,34.9492,6.2751,*0000000000000100,7.30832,-9999999,-9999999,0.0868,97.8543,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,10,*0000000000000100,2014-09-08T12:08:38.000Z,1509.24,*0000000000000100,1489.371,62.10702,-31.38174,3.6544,*0000000000000100,3.6543,*0000000000000100,3.286338,*0000000000000100,3.286569,*0000000000000100,34.9463,34.9491,6.2838,*0000000000000100,7.30835,-9999999,-9999999,0.0868,97.8535,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,12,*0000000000000100,2014-09-08T12:08:45.000Z,1509.079,*0000000000000100,1489.213,62.10702,-31.38176,3.6544,*0000000000000100,3.6543,*0000000000000100,3.286332,*0000000000000100,3.286574,*0000000000000100,34.9463,34.9493,6.2567,*0000000000000100,7.30835,-9999999,-9999999,0.087,97.8493,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,13,*0000000000000100,2014-09-08T12:08:54.000Z,1509.051,*0000000000000100,1489.186,62.10702,-31.38174,3.6548,*0000000000000100,3.6544,*0000000000000100,3.286355,*0000000000000100,3.286575,*0000000000000100,34.9462,34.9492,6.3015,*0000000000000100,7.30829,-9999999,-9999999,0.088,97.8256,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,17,*0000000000000100,2014-09-08T12:09:02.000Z,1509.341,*0000000000000100,1489.47,62.10702,-31.38176,3.6547,*0000000000000100,3.6542,*0000000000000100,3.286362,*0000000000000100,3.286573,*0000000000000100,34.9462,34.9493,6.3135,*0000000000000100,7.30831,-9999999,-9999999,0.0868,97.8548,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,18,*0000000000000100,2014-09-08T12:09:09.000Z,1509.254,*0000000000000100,1489.385,62.10702,-31.38176,3.6547,*0000000000000100,3.6542,*0000000000000100,3.28637,*0000000000000100,3.286571,*0000000000000100,34.9463,34.9493,6.2638,*0000000000000100,7.3083,-9999999,-9999999,0.0876,97.8353,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
KN221-04,1,Test Site #1,62.107,-31.3816666666667,2014-09-08T11:39:06.000Z,1,*0000000000000100,-9999999,C:\Data\ctd\KN22104001.hex,*0000000000000100,20,*0000000000000100,2014-09-08T12:09:18.000Z,1509.218,*0000000000000100,1489.35,62.10702,-31.38176,3.6552,*0000000000000100,3.6548,*0000000000000100,3.286397,*0000000000000100,3.286621,*0000000000000100,34.9462,34.9493,6.3244,*0000000000000100,7.30823,-9999999,-9999999,0.087,97.849,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
