Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AR21,1,Release test 1,50.7851666666667,-47.2951666666667,2017-08-02T11:20:00.000Z,1,*0000000000000100,2822,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,2,Release test 2,50.786,-47.2993333333333,2017-08-02T13:12:00.000Z,2,*0000000000000100,2822,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,3,Release test 3,50.7856666666667,-47.3051666666667,2017-08-02T14:13:54.000Z,3,*0000000000000100,2822,D:\Data\AR21_003.hex,*0000000000000100,1,*0000000000000100,2017-08-02T15:13:01.000Z,1010.706,*0000000000000100,999.538,50.78612,-47.31275,3.3457,*0000000000000100,3.3478,*0000000000000100,3.231005,*0000000000000100,3.231099,*0000000000000100,34.8662,34.8652,4.5534,*0000000000000100,7.36764,-9999999,-9999999,0.1342,96.7012,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,4,Release test 4,50.7865,-47.3181666666667,2017-08-02T15:55:19.000Z,4,*0000000000000100,2822,D:\Data\AR21_004.hex,*0000000000000100,1,*0000000000000100,2017-08-02T17:03:59.000Z,1013.302,*0000000000000100,1002.099,50.78648,-47.31814,3.3436,*0000000000000100,3.3454,*0000000000000100,3.230972,*0000000000000100,3.23104,*0000000000000100,34.8667,34.8657,4.4935,*0000000000000100,7.36799,-9999999,-9999999,0.134,96.707,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,5,Release test 5,50.7865,-47.3181666666667,2017-08-02T17:41:30.000Z,5,*0000000000000100,2822,D:\Data\AR21_005.hex,*0000000000000100,1,*0000000000000100,2017-08-02T18:42:27.000Z,1013.454,*0000000000000100,1002.249,50.78648,-47.31811,3.3391,*0000000000000100,3.3412,*0000000000000100,3.230444,*0000000000000100,3.230541,*0000000000000100,34.8652,34.864,4.7347,*0000000000000100,7.3689,-9999999,-9999999,0.1348,96.6863,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,6,Release test 6,50.7865,-47.3181666666667,2017-08-02T19:20:56.000Z,6,*0000000000000100,2822,D:\Data\AR21_006.hex,*0000000000000100,1,*0000000000000100,2017-08-02T20:18:50.000Z,1014.384,*0000000000000100,1003.166,50.78648,-47.31813,3.3278,*0000000000000100,3.3295,*0000000000000100,3.229384,*0000000000000100,3.229393,*0000000000000100,34.864,34.8623,4.4981,*0000000000000100,7.37099,-9999999,-9999999,0.1336,96.7164,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,6,Release test 6,50.7865,-47.3181666666667,2017-08-02T19:20:56.000Z,6,*0000000000000100,2822,D:\Data\AR21_006.hex,*0000000000000100,2,*0000000000000100,2017-08-02T20:23:07.000Z,810.168,*0000000000000100,801.6,50.7865,-47.31813,3.3664,*0000000000000100,3.3684,*0000000000000100,3.223647,*0000000000000100,3.224053,*0000000000000100,34.8606,34.8633,4.7741,*0000000000000100,7.36421,-9999999,-9999999,0.1361,96.656,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,6,Release test 6,50.7865,-47.3181666666667,2017-08-02T19:20:56.000Z,6,*0000000000000100,2822,D:\Data\AR21_006.hex,*0000000000000100,3,*0000000000000100,2017-08-02T20:23:20.000Z,811.373,*0000000000000100,802.789,50.7865,-47.31812,3.3669,*0000000000000100,3.3692,*0000000000000100,3.223782,*0000000000000100,3.224155,*0000000000000100,34.8611,34.863,4.7358,*0000000000000100,7.36409,-9999999,-9999999,0.1357,96.6645,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,6,Release test 6,50.7865,-47.3181666666667,2017-08-02T19:20:56.000Z,6,*0000000000000100,2822,D:\Data\AR21_006.hex,*0000000000000100,4,*0000000000000100,2017-08-02T20:32:38.000Z,304.822,*0000000000000100,301.965,50.78651,-47.31815,3.4852,*0000000000000100,3.4868,*0000000000000100,3.210429,*0000000000000100,3.210379,*0000000000000100,34.8453,34.843,4.4277,*0000000000000100,7.3436,-9999999,-9999999,0.1389,96.5876,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,6,Release test 6,50.7865,-47.3181666666667,2017-08-02T19:20:56.000Z,6,*0000000000000100,2822,D:\Data\AR21_006.hex,*0000000000000100,5,*0000000000000100,2017-08-02T20:32:47.000Z,305.16,*0000000000000100,302.299,50.7865,-47.31815,3.4851,*0000000000000100,3.4871,*0000000000000100,3.210463,*0000000000000100,3.210406,*0000000000000100,34.8456,34.8428,4.4323,*0000000000000100,7.3436,-9999999,-9999999,0.139,96.5854,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,7,SUMO,59.9263333333333,-39.5161666666667,2017-08-05T20:24:20.000Z,7,*0000000000000100,2711,D:\Data\AR21_007.hex,*0000000000000100,1,*0000000000000100,2017-08-05T20:52:18.000Z,1521.105,*0000000000000100,1501.294,59.92632,-39.51622,3.5712,*0000000000000100,3.574,*0000000000000100,3.276132,*0000000000000100,3.276795,*0000000000000100,34.9073,34.9123,4.3687,*0000000000000100,7.32512,-9999999,-9999999,0.1287,96.8334,*0000000000000100,-9999999,-9999999,6.445,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.597,5.57806055468839,8.163,<0.04,1.116,*0000000000000100,*0000000000000100,34.9281,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,7,SUMO,59.9263333333333,-39.5161666666667,2017-08-05T20:24:20.000Z,7,*0000000000000100,2711,D:\Data\AR21_007.hex,*0000000000000100,2,*0000000000000100,2017-08-05T21:02:53.000Z,1013.408,*0000000000000100,1001.415,59.92631,-39.51622,3.3488,*0000000000000100,3.3502,*0000000000000100,3.230844,*0000000000000100,3.230991,*0000000000000100,34.8596,34.8599,4.4931,*0000000000000100,7.36742,-9999999,-9999999,0.1307,96.787,*0000000000000100,-9999999,-9999999,6.927,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.8731,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,7,SUMO,59.9263333333333,-39.5161666666667,2017-08-05T20:24:20.000Z,7,*0000000000000100,2711,D:\Data\AR21_007.hex,*0000000000000100,3,*0000000000000100,2017-08-05T21:12:52.000Z,507.294,*0000000000000100,501.899,59.9263,-39.51622,3.6138,*0000000000000100,3.6145,*0000000000000100,3.231838,*0000000000000100,3.234831,*0000000000000100,34.8556,34.8907,3.8354,*0000000000000100,7.32009,-9999999,-9999999,0.1316,96.7638,*0000000000000100,-9999999,-9999999,6.872,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.537811639795517,4.34412594713611,7.316,<0.04,1.116,*0000000000000100,*0000000000000100,34.8958,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,7,SUMO,59.9263333333333,-39.5161666666667,2017-08-05T20:24:20.000Z,7,*0000000000000100,2711,D:\Data\AR21_007.hex,*0000000000000100,4,*0000000000000100,2017-08-05T21:14:32.000Z,487.311,*0000000000000100,482.151,59.92632,-39.5162,3.607,*0000000000000100,3.6087,*0000000000000100,3.233057,*0000000000000100,3.233292,*0000000000000100,34.8882,34.8893,4.0739,*0000000000000100,7.31969,-9999999,-9999999,0.131,96.7782,*0000000000000100,-9999999,-9999999,6.917,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.8954,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AR21,7,SUMO,59.9263333333333,-39.5161666666667,2017-08-05T20:24:20.000Z,7,*0000000000000100,2711,D:\Data\AR21_007.hex,*0000000000000100,5,*0000000000000100,2017-08-05T21:19:33.000Z,254.824,*0000000000000100,252.267,59.92632,-39.51621,3.8944,*0000000000000100,3.8957,*0000000000000100,3.249823,*0000000000000100,3.249684,*0000000000000100,34.9073,34.9043,5.5257,*0000000000000100,7.2678,-9999999,-9999999,0.1362,96.6535,*0000000000000100,-9999999,-9999999,6.785,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.9111,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
